Date,Category,Actual,Type
2017-04-09,BEVERAGES,1370345.0,Actual
2017-04-16,BEVERAGES,1312699.0,Actual
2017-04-23,BEVERAGES,1319957.0,Actual
2017-04-30,BEVERAGES,1325665.0,Actual
2017-05-07,BEVERAGES,1524916.0,Actual
2017-05-14,BEVERAGES,1199891.0,Actual
2017-05-21,BEVERAGES,1317735.0,Actual
2017-05-28,BEVERAGES,1290194.0,Actual
2017-06-04,BEVERAGES,1493682.0,Actual
2017-06-11,BEVERAGES,1465103.0,Actual
2017-06-18,BEVERAGES,1313649.0,Actual
2017-06-25,BEVERAGES,1274435.0,Actual
2017-07-02,BEVERAGES,1326264.0,Actual
2017-07-09,BEVERAGES,1368223.0,Actual
2017-07-16,BEVERAGES,1361851.0,Actual
2017-07-23,BEVERAGES,1348452.0,Actual
2017-07-30,BEVERAGES,1361379.0,Actual
2017-08-06,BEVERAGES,1436505.0,Actual
2017-08-13,BEVERAGES,1223297.0,Actual
2017-08-20,BEVERAGES,345605.0,Actual
2017-04-09,BREAD/BAKERY,203269.0,Actual
2017-04-16,BREAD/BAKERY,187361.0,Actual
2017-04-23,BREAD/BAKERY,203257.0,Actual
2017-04-30,BREAD/BAKERY,200220.0,Actual
2017-05-07,BREAD/BAKERY,236731.0,Actual
2017-05-14,BREAD/BAKERY,200757.0,Actual
2017-05-21,BREAD/BAKERY,217775.0,Actual
2017-05-28,BREAD/BAKERY,206796.0,Actual
2017-06-04,BREAD/BAKERY,225467.0,Actual
2017-06-11,BREAD/BAKERY,210319.0,Actual
2017-06-18,BREAD/BAKERY,204580.0,Actual
2017-06-25,BREAD/BAKERY,214031.0,Actual
2017-07-02,BREAD/BAKERY,215723.0,Actual
2017-07-09,BREAD/BAKERY,216709.0,Actual
2017-07-16,BREAD/BAKERY,204035.0,Actual
2017-07-23,BREAD/BAKERY,196273.0,Actual
2017-07-30,BREAD/BAKERY,199332.0,Actual
2017-08-06,BREAD/BAKERY,215378.0,Actual
2017-08-13,BREAD/BAKERY,194257.0,Actual
2017-08-20,BREAD/BAKERY,57161.0,Actual
2017-04-09,DAIRY,357691.0,Actual
2017-04-16,DAIRY,345631.0,Actual
2017-04-23,DAIRY,354102.0,Actual
2017-04-30,DAIRY,349599.0,Actual
2017-05-07,DAIRY,421751.0,Actual
2017-05-14,DAIRY,349826.0,Actual
2017-05-21,DAIRY,362230.0,Actual
2017-05-28,DAIRY,344357.0,Actual
2017-06-04,DAIRY,382523.0,Actual
2017-06-11,DAIRY,361705.0,Actual
2017-06-18,DAIRY,349198.0,Actual
2017-06-25,DAIRY,345238.0,Actual
2017-07-02,DAIRY,354015.0,Actual
2017-07-09,DAIRY,355061.0,Actual
2017-07-16,DAIRY,325143.0,Actual
2017-07-23,DAIRY,318160.0,Actual
2017-07-30,DAIRY,318300.0,Actual
2017-08-06,DAIRY,340015.0,Actual
2017-08-13,DAIRY,297262.0,Actual
2017-08-20,DAIRY,83757.0,Actual
2017-04-09,EGGS,73359.0,Actual
2017-04-16,EGGS,73713.0,Actual
2017-04-23,EGGS,74790.0,Actual
2017-04-30,EGGS,73108.0,Actual
2017-05-07,EGGS,85311.0,Actual
2017-05-14,EGGS,72154.0,Actual
2017-05-21,EGGS,77302.0,Actual
2017-05-28,EGGS,73202.0,Actual
2017-06-04,EGGS,80706.0,Actual
2017-06-11,EGGS,78812.0,Actual
2017-06-18,EGGS,78001.0,Actual
2017-06-25,EGGS,75458.0,Actual
2017-07-02,EGGS,75547.0,Actual
2017-07-09,EGGS,76774.0,Actual
2017-07-16,EGGS,73256.0,Actual
2017-07-23,EGGS,75159.0,Actual
2017-07-30,EGGS,73833.0,Actual
2017-08-06,EGGS,78346.0,Actual
2017-08-13,EGGS,69959.0,Actual
2017-08-20,EGGS,24224.0,Actual
2017-04-09,FROZEN FOODS,47646.0,Actual
2017-04-16,FROZEN FOODS,47138.0,Actual
2017-04-23,FROZEN FOODS,50773.0,Actual
2017-04-30,FROZEN FOODS,52170.0,Actual
2017-05-07,FROZEN FOODS,58412.0,Actual
2017-05-14,FROZEN FOODS,57745.0,Actual
2017-05-21,FROZEN FOODS,51535.0,Actual
2017-05-28,FROZEN FOODS,52457.0,Actual
2017-06-04,FROZEN FOODS,54863.0,Actual
2017-06-11,FROZEN FOODS,51425.0,Actual
2017-06-18,FROZEN FOODS,54872.0,Actual
2017-06-25,FROZEN FOODS,48815.0,Actual
2017-07-02,FROZEN FOODS,51082.0,Actual
2017-07-09,FROZEN FOODS,51856.0,Actual
2017-07-16,FROZEN FOODS,48179.0,Actual
2017-07-23,FROZEN FOODS,47696.0,Actual
2017-07-30,FROZEN FOODS,48876.0,Actual
2017-08-06,FROZEN FOODS,51444.0,Actual
2017-08-13,FROZEN FOODS,47838.0,Actual
2017-08-20,FROZEN FOODS,10732.0,Actual
2017-04-09,GROCERY I,1869148.0,Actual
2017-04-16,GROCERY I,1725270.0,Actual
2017-04-23,GROCERY I,1691093.0,Actual
2017-04-30,GROCERY I,1672836.0,Actual
2017-05-07,GROCERY I,2093464.0,Actual
2017-05-14,GROCERY I,1693413.0,Actual
2017-05-21,GROCERY I,1812469.0,Actual
2017-05-28,GROCERY I,1721805.0,Actual
2017-06-04,GROCERY I,2024228.0,Actual
2017-06-11,GROCERY I,1874332.0,Actual
2017-06-18,GROCERY I,1723112.0,Actual
2017-06-25,GROCERY I,1682980.0,Actual
2017-07-02,GROCERY I,1809834.0,Actual
2017-07-09,GROCERY I,1826124.0,Actual
2017-07-16,GROCERY I,1625023.0,Actual
2017-07-23,GROCERY I,1659400.0,Actual
2017-07-30,GROCERY I,1719374.0,Actual
2017-08-06,GROCERY I,1932154.0,Actual
2017-08-13,GROCERY I,1598694.0,Actual
2017-08-20,GROCERY I,449564.0,Actual
2017-04-09,PRODUCE,863553.0,Actual
2017-04-16,PRODUCE,825655.0,Actual
2017-04-23,PRODUCE,892228.0,Actual
2017-04-30,PRODUCE,854426.0,Actual
2017-05-07,PRODUCE,996420.0,Actual
2017-05-14,PRODUCE,892126.0,Actual
2017-05-21,PRODUCE,936078.0,Actual
2017-05-28,PRODUCE,892417.0,Actual
2017-06-04,PRODUCE,960649.0,Actual
2017-06-11,PRODUCE,919723.0,Actual
2017-06-18,PRODUCE,920040.0,Actual
2017-06-25,PRODUCE,902709.0,Actual
2017-07-02,PRODUCE,920838.0,Actual
2017-07-09,PRODUCE,935399.0,Actual
2017-07-16,PRODUCE,887436.0,Actual
2017-07-23,PRODUCE,873336.0,Actual
2017-07-30,PRODUCE,858957.0,Actual
2017-08-06,PRODUCE,915561.0,Actual
2017-08-13,PRODUCE,821553.0,Actual
2017-08-20,PRODUCE,240367.0,Actual
