date,family,sales
2015-01-01,BEVERAGES,3528.0
2015-01-02,BEVERAGES,111353.0
2015-01-03,BEVERAGES,110296.0
2015-01-04,BEVERAGES,122463.0
2015-01-05,BEVERAGES,88624.0
2015-01-06,BEVERAGES,73243.0
2015-01-07,BEVERAGES,73468.0
2015-01-08,BEVERAGES,66253.0
2015-01-09,BEVERAGES,69734.0
2015-01-10,BEVERAGES,98179.0
2015-01-11,BEVERAGES,123002.0
2015-01-12,BEVERAGES,72239.0
2015-01-13,BEVERAGES,63328.0
2015-01-14,BEVERAGES,66153.0
2015-01-15,BEVERAGES,60565.0
2015-01-16,BEVERAGES,70884.0
2015-01-17,BEVERAGES,105951.0
2015-01-18,BEVERAGES,112461.0
2015-01-19,BEVERAGES,70342.0
2015-01-20,BEVERAGES,58100.0
2015-01-21,BEVERAGES,61233.0
2015-01-22,BEVERAGES,54953.0
2015-01-23,BEVERAGES,63469.0
2015-01-24,BEVERAGES,96166.0
2015-01-25,BEVERAGES,105923.0
2015-01-26,BEVERAGES,60931.0
2015-01-27,BEVERAGES,52079.0
2015-01-28,BEVERAGES,58011.0
2015-01-29,BEVERAGES,50044.0
2015-01-30,BEVERAGES,68934.0
2015-01-31,BEVERAGES,105212.0
2015-02-01,BEVERAGES,123239.0
2015-02-02,BEVERAGES,74256.0
2015-02-03,BEVERAGES,71036.0
2015-02-04,BEVERAGES,64450.0
2015-02-05,BEVERAGES,62577.0
2015-02-06,BEVERAGES,72859.0
2015-02-07,BEVERAGES,97983.0
2015-02-08,BEVERAGES,94395.0
2015-02-09,BEVERAGES,64997.0
2015-02-10,BEVERAGES,60081.0
2015-02-11,BEVERAGES,60369.0
2015-02-12,BEVERAGES,63431.0
2015-02-13,BEVERAGES,86290.0
2015-02-14,BEVERAGES,103490.0
2015-02-15,BEVERAGES,74875.0
2015-02-16,BEVERAGES,75002.0
2015-02-17,BEVERAGES,81193.0
2015-02-18,BEVERAGES,76071.0
2015-02-19,BEVERAGES,61469.0
2015-02-20,BEVERAGES,77607.0
2015-02-21,BEVERAGES,97337.0
2015-02-22,BEVERAGES,119559.0
2015-02-23,BEVERAGES,67447.0
2015-02-24,BEVERAGES,63167.0
2015-02-25,BEVERAGES,60108.0
2015-02-26,BEVERAGES,52844.0
2015-02-27,BEVERAGES,67085.0
2015-02-28,BEVERAGES,96695.0
2015-03-01,BEVERAGES,120531.0
2015-03-02,BEVERAGES,75597.0
2015-03-03,BEVERAGES,68631.0
2015-03-04,BEVERAGES,67758.0
2015-03-05,BEVERAGES,64200.0
2015-03-06,BEVERAGES,72164.0
2015-03-07,BEVERAGES,105999.0
2015-03-08,BEVERAGES,109904.0
2015-03-09,BEVERAGES,72537.0
2015-03-10,BEVERAGES,69134.0
2015-03-11,BEVERAGES,65135.0
2015-03-12,BEVERAGES,58096.0
