Date,Category,Forecast,Lower_Band,Upper_Band,Type
2017-08-27,BEVERAGES,1356341.0,1234270.0,1478411.0,Forecast
2017-09-03,BEVERAGES,1369328.0,1246089.0,1492568.0,Forecast
2017-09-10,BEVERAGES,1384789.0,1260158.0,1509420.0,Forecast
2017-09-17,BEVERAGES,1392110.0,1266820.0,1517400.0,Forecast
2017-09-24,BEVERAGES,1390941.0,1265756.0,1516125.0,Forecast
2017-10-01,BEVERAGES,1374609.0,1250894.0,1498324.0,Forecast
2017-10-08,BEVERAGES,1362909.0,1240248.0,1485571.0,Forecast
2017-10-15,BEVERAGES,1351471.0,1229839.0,1473103.0,Forecast
2017-08-27,BREAD/BAKERY,212085.0,192997.0,231172.0,Forecast
2017-09-03,BREAD/BAKERY,211294.0,192277.0,230310.0,Forecast
2017-09-10,BREAD/BAKERY,211510.0,192474.0,230545.0,Forecast
2017-09-17,BREAD/BAKERY,211110.0,192110.0,230109.0,Forecast
2017-09-24,BREAD/BAKERY,210276.0,191351.0,229201.0,Forecast
2017-10-01,BREAD/BAKERY,207598.0,188914.0,226281.0,Forecast
2017-10-08,BREAD/BAKERY,206708.0,188104.0,225311.0,Forecast
2017-10-15,BREAD/BAKERY,206161.0,187607.0,224716.0,Forecast
2017-08-27,DAIRY,342829.0,311974.0,373683.0,Forecast
2017-09-03,DAIRY,347333.0,316073.0,378593.0,Forecast
2017-09-10,DAIRY,352084.0,320396.0,383771.0,Forecast
2017-09-17,DAIRY,356119.0,324068.0,388169.0,Forecast
2017-09-24,DAIRY,358951.0,326645.0,391256.0,Forecast
2017-10-01,DAIRY,360190.0,327773.0,392607.0,Forecast
2017-10-08,DAIRY,360514.0,328067.0,392960.0,Forecast
2017-10-15,DAIRY,360176.0,327760.0,392592.0,Forecast
2017-08-27,EGGS,76689.0,69787.0,83591.0,Forecast
2017-09-03,EGGS,77204.0,70256.0,84153.0,Forecast
2017-09-10,EGGS,77754.0,70756.0,84751.0,Forecast
2017-09-17,EGGS,78105.0,71075.0,85134.0,Forecast
2017-09-24,EGGS,78261.0,71217.0,85304.0,Forecast
2017-10-01,EGGS,78074.0,71047.0,85100.0,Forecast
2017-10-08,EGGS,77993.0,70973.0,85012.0,Forecast
2017-10-15,EGGS,77905.0,70893.0,84916.0,Forecast
2017-08-27,FROZEN FOODS,38616.0,35140.0,42091.0,Forecast
2017-09-03,FROZEN FOODS,58419.0,53161.0,63677.0,Forecast
2017-09-10,FROZEN FOODS,50089.0,45581.0,54596.0,Forecast
2017-09-17,FROZEN FOODS,43054.0,39179.0,46929.0,Forecast
2017-09-24,FROZEN FOODS,36779.0,33469.0,40089.0,Forecast
2017-10-01,FROZEN FOODS,60624.0,55168.0,66080.0,Forecast
2017-10-08,FROZEN FOODS,54789.0,49858.0,59720.0,Forecast
2017-10-15,FROZEN FOODS,49357.0,44914.0,53799.0,Forecast
2017-08-27,GROCERY I,1673651.0,1523023.0,1824280.0,Forecast
2017-09-03,GROCERY I,1725466.0,1570174.0,1880758.0,Forecast
2017-09-10,GROCERY I,1732231.0,1576330.0,1888132.0,Forecast
2017-09-17,GROCERY I,1739067.0,1582551.0,1895583.0,Forecast
2017-09-24,GROCERY I,1743202.0,1586314.0,1900091.0,Forecast
2017-10-01,GROCERY I,1791151.0,1629947.0,1952354.0,Forecast
2017-10-08,GROCERY I,1786319.0,1625550.0,1947088.0,Forecast
2017-10-15,GROCERY I,1778455.0,1618394.0,1938516.0,Forecast
2017-08-27,PRODUCE,859864.0,782476.0,937252.0,Forecast
2017-09-03,PRODUCE,866124.0,788173.0,944075.0,Forecast
2017-09-10,PRODUCE,873627.0,795000.0,952253.0,Forecast
2017-09-17,PRODUCE,875913.0,797081.0,954745.0,Forecast
2017-09-24,PRODUCE,872165.0,793670.0,950660.0,Forecast
2017-10-01,PRODUCE,859124.0,781803.0,936445.0,Forecast
2017-10-08,PRODUCE,847419.0,771151.0,923687.0,Forecast
2017-10-15,PRODUCE,836175.0,760919.0,911431.0,Forecast
